img_id,img_width,img_height,img_file,cat_id,cat_name,supercategory,ann_id,x,y,width,height,area,recorte_file
0,1537,2049,batch_1/000006.jpg,6,Glass bottle,Bottle,1,517,127,447,1322,590934,recortes\Glass bottle\Glass bottle_1_000006.jpg
1,1537,2049,batch_1/000008.jpg,18,Meal carton,Carton,2,1,457,1429,1519,2170651,recortes\Meal carton\Meal carton_2_000008.jpg
1,1537,2049,batch_1/000008.jpg,14,Other carton,Carton,3,531,292,1006,672,676032,recortes\Other carton\Other carton_3_000008.jpg
2,1537,2049,batch_1/000010.jpg,5,Clear plastic bottle,Bottle,4,632,987,500,374,187000,recortes\Clear plastic bottle\Clear plastic bottle_4_000010.jpg
2,1537,2049,batch_1/000010.jpg,7,Plastic bottle cap,Bottle cap,5,632,989,44,51,2244,recortes\Plastic bottle cap\Plastic bottle cap_5_000010.jpg
3,2049,1537,batch_1/000019.jpg,5,Clear plastic bottle,Bottle,6,209,920,454,562,255148,recortes\Clear plastic bottle\Clear plastic bottle_6_000019.jpg
3,2049,1537,batch_1/000019.jpg,5,Clear plastic bottle,Bottle,7,1212,822,179,446,79834,recortes\Clear plastic bottle\Clear plastic bottle_7_000019.jpg
3,2049,1537,batch_1/000019.jpg,7,Plastic bottle cap,Bottle cap,8,634,1442,29,39,1131,recortes\Plastic bottle cap\Plastic bottle cap_8_000019.jpg
3,2049,1537,batch_1/000019.jpg,12,Drink can,Can,9,589,548,341,405,138105,recortes\Drink can\Drink can_9_000019.jpg
4,1537,2049,batch_1/000026.jpg,12,Drink can,Can,10,556,944,490,336,164640,recortes\Drink can\Drink can_10_000026.jpg
5,2049,1537,batch_1/000047.jpg,10,Food Can,Can,11,1205,47,623,721,449183,recortes\Food Can\Food Can_11_000047.jpg
5,2049,1537,batch_1/000047.jpg,10,Food Can,Can,12,309,11,581,820,476420,recortes\Food Can\Food Can_12_000047.jpg
5,2049,1537,batch_1/000047.jpg,4,Other plastic bottle,Bottle,13,189,751,1617,589,952413,recortes\Other plastic bottle\Other plastic bottle_13_000047.jpg
5,2049,1537,batch_1/000047.jpg,7,Plastic bottle cap,Bottle cap,14,189,903,205,226,46330,recortes\Plastic bottle cap\Plastic bottle cap_14_000047.jpg
5,2049,1537,batch_1/000047.jpg,50,Pop tab,Pop tab,15,569,137,227,108,24516,recortes\Pop tab\Pop tab_15_000047.jpg
5,2049,1537,batch_1/000047.jpg,50,Pop tab,Pop tab,16,1540,171,246,111,27306,recortes\Pop tab\Pop tab_16_000047.jpg
6,1537,2049,batch_1/000055.jpg,11,Aerosol,Can,17,515,439,357,1125,401625,recortes\Aerosol\Aerosol_17_000055.jpg
7,2049,1537,batch_1/000001.jpg,5,Clear plastic bottle,Bottle,18,826,744,464,205,95120,recortes\Clear plastic bottle\Clear plastic bottle_18_000001.jpg
7,2049,1537,batch_1/000001.jpg,7,Plastic bottle cap,Bottle cap,19,1254,777,36,47,1692,recortes\Plastic bottle cap\Plastic bottle cap_19_000001.jpg
8,1537,2049,batch_1/000005.jpg,5,Clear plastic bottle,Bottle,20,824,557,89,236,21004,recortes\Clear plastic bottle\Clear plastic bottle_20_000005.jpg
9,1537,2049,batch_1/000007.jpg,10,Food Can,Can,21,730,126,275,609,167475,recortes\Food Can\Food Can_21_000007.jpg
9,1537,2049,batch_1/000007.jpg,23,Glass cup,Cup,22,804,0,222,160,35520,recortes\Glass cup\Glass cup_22_000007.jpg
9,1537,2049,batch_1/000007.jpg,50,Pop tab,Pop tab,23,781,125,85,57,4845,recortes\Pop tab\Pop tab_23_000007.jpg
10,1537,2049,batch_1/000012.jpg,6,Glass bottle,Bottle,24,379,1127,425,318,135150,recortes\Glass bottle\Glass bottle_24_000012.jpg
10,1537,2049,batch_1/000012.jpg,39,Other plastic wrapper,Plastic bag & wrapper,25,904,1083,37,26,962,recortes\Other plastic wrapper\Other plastic wrapper_25_000012.jpg
11,1537,2049,batch_1/000014.jpg,57,Styrofoam piece,Styrofoam piece,26,1072,983,124,147,18228,recortes\Styrofoam piece\Styrofoam piece_26_000014.jpg
11,1537,2049,batch_1/000014.jpg,57,Styrofoam piece,Styrofoam piece,27,914,1308,243,187,45441,recortes\Styrofoam piece\Styrofoam piece_27_000014.jpg
11,1537,2049,batch_1/000014.jpg,12,Drink can,Can,28,672,1069,219,161,35259,recortes\Drink can\Drink can_28_000014.jpg
11,1537,2049,batch_1/000014.jpg,36,Plastic film,Plastic bag & wrapper,29,401,1033,273,273,74529,recortes\Plastic film\Plastic film_29_000014.jpg
11,1537,2049,batch_1/000014.jpg,14,Other carton,Carton,30,836,1010,339,207,70173,recortes\Other carton\Other carton_30_000014.jpg
11,1537,2049,batch_1/000014.jpg,29,Other plastic,Other plastic,31,775,910,159,99,15741,recortes\Other plastic\Other plastic_31_000014.jpg
12,2049,1537,batch_1/000048.jpg,4,Other plastic bottle,Bottle,32,1527,460,415,1033,428695,recortes\Other plastic bottle\Other plastic bottle_32_000048.jpg
12,2049,1537,batch_1/000048.jpg,5,Clear plastic bottle,Bottle,33,579,521,322,921,296562,recortes\Clear plastic bottle\Clear plastic bottle_33_000048.jpg
12,2049,1537,batch_1/000048.jpg,6,Glass bottle,Bottle,34,211,1,417,1417,590889,recortes\Glass bottle\Glass bottle_34_000048.jpg
12,2049,1537,batch_1/000048.jpg,16,Drink carton,Carton,35,1208,611,369,882,325458,recortes\Drink carton\Drink carton_35_000048.jpg
12,2049,1537,batch_1/000048.jpg,16,Drink carton,Carton,36,863,608,353,860,303580,recortes\Drink carton\Drink carton_36_000048.jpg
12,2049,1537,batch_1/000048.jpg,7,Plastic bottle cap,Bottle cap,37,1677,460,211,98,20678,recortes\Plastic bottle cap\Plastic bottle cap_37_000048.jpg
12,2049,1537,batch_1/000048.jpg,7,Plastic bottle cap,Bottle cap,38,1325,663,155,115,17825,recortes\Plastic bottle cap\Plastic bottle cap_38_000048.jpg
12,2049,1537,batch_1/000048.jpg,7,Plastic bottle cap,Bottle cap,39,969,636,146,124,18104,recortes\Plastic bottle cap\Plastic bottle cap_39_000048.jpg
12,2049,1537,batch_1/000048.jpg,7,Plastic bottle cap,Bottle cap,40,610,521,185,97,17945,recortes\Plastic bottle cap\Plastic bottle cap_40_000048.jpg
12,2049,1537,batch_1/000048.jpg,8,Metal bottle cap,Bottle cap,41,212,1,169,103,17407,recortes\Metal bottle cap\Metal bottle cap_41_000048.jpg
13,1537,2049,batch_1/000053.jpg,5,Clear plastic bottle,Bottle,42,398,410,1134,998,1131732,recortes\Clear plastic bottle\Clear plastic bottle_42_000053.jpg
13,1537,2049,batch_1/000053.jpg,7,Plastic bottle cap,Bottle cap,43,1336,410,196,210,41160,recortes\Plastic bottle cap\Plastic bottle cap_43_000053.jpg
13,1537,2049,batch_1/000053.jpg,36,Plastic film,Plastic bag & wrapper,44,0,1,338,664,224432,recortes\Plastic film\Plastic film_44_000053.jpg
13,1537,2049,batch_1/000053.jpg,45,Disposable food container,Plastic container,45,0,369,487,319,155353,recortes\Disposable food container\Disposable food container_45_000053.jpg
14,1537,2049,batch_1/000056.jpg,4,Other plastic bottle,Bottle,46,419,8,713,1854,1321902,recortes\Other plastic bottle\Other plastic bottle_46_000056.jpg
15,1537,2049,batch_1/000058.jpg,4,Other plastic bottle,Bottle,47,150,328,568,1304,740672,recortes\Other plastic bottle\Other plastic bottle_47_000058.jpg
15,1537,2049,batch_1/000058.jpg,4,Other plastic bottle,Bottle,48,802,405,547,1404,767988,recortes\Other plastic bottle\Other plastic bottle_48_000058.jpg
15,1537,2049,batch_1/000058.jpg,7,Plastic bottle cap,Bottle cap,49,971,405,296,191,56536,recortes\Plastic bottle cap\Plastic bottle cap_49_000058.jpg
16,1537,2049,batch_1/000060.jpg,11,Aerosol,Can,50,750,244,402,1467,589734,recortes\Aerosol\Aerosol_50_000060.jpg
16,1537,2049,batch_1/000060.jpg,33,Normal paper,Paper,51,1205,989,332,602,199864,recortes\Normal paper\Normal paper_51_000060.jpg
17,1537,2049,batch_1/000003.jpg,20,Paper cup,Cup,52,714,1093,234,237,55458,recortes\Paper cup\Paper cup_52_000003.jpg
18,1537,2049,batch_1/000011.jpg,12,Drink can,Can,53,522,1168,240,122,29280,recortes\Drink can\Drink can_53_000011.jpg
19,1537,2049,batch_1/000032.jpg,12,Drink can,Can,54,503,808,445,357,158865,recortes\Drink can\Drink can_54_000032.jpg
19,1537,2049,batch_1/000032.jpg,50,Pop tab,Pop tab,55,510,953,78,61,4758,recortes\Pop tab\Pop tab_55_000032.jpg
20,2049,1537,batch_1/000040.jpg,10,Food Can,Can,56,285,402,472,624,294528,recortes\Food Can\Food Can_56_000040.jpg
20,2049,1537,batch_1/000040.jpg,10,Food Can,Can,57,1450,379,514,612,314568,recortes\Food Can\Food Can_57_000040.jpg
20,2049,1537,batch_1/000040.jpg,50,Pop tab,Pop tab,58,504,451,172,96,16512,recortes\Pop tab\Pop tab_58_000040.jpg
